index,cycle,phase_index,step_id,operator_name,identity_split,access_recursion,contradiction_lock,temporal_feedback,false_signal,utterance_instability,silence_gain
0,0,0,initial,initial,0.12,0.08,0.05,0.1,0.06,0.04,0.05
1,1,1,PX-001,amplify identity fracture,0.19735199999999997,0.07988,0.05,0.1,0.06,0.04,0.05
2,1,2,PX-002,fracture to access recursion,0.19735199999999997,0.0907056128,0.05,0.10244905154560001,0.06,0.04,0.05
3,1,3,PX-003,negation to lock formation,0.19967656109359735,0.0907056128,0.057922304512000006,0.10244905154560001,0.06,0.04,0.05
4,1,4,PX-004,lagged temporal recursion,0.19967656109359735,0.0907056128,0.057922304512000006,0.10771912779703975,0.0640502392051687,0.04,0.05
5,1,5,PX-005,false signal injection,0.19967656109359735,0.0907056128,0.057922304512000006,0.10771912779703975,0.06695410454659827,0.04,0.05
6,1,6,PX-006,signal to unstable utterance,0.19967656109359735,0.0907056128,0.057922304512000006,0.10771912779703975,0.06695410454659827,0.04314134863410188,0.05
7,1,7,PX-007,silence feedback reset,0.19895945888668234,0.09029681235646846,0.057922304512000006,0.10771912779703975,0.06601531136951595,0.04314134863410188,0.050076583026519336
8,2,1,PX-001,amplify identity fracture,0.26955814163170877,0.09016115968183849,0.057922304512000006,0.10771912779703975,0.06601531136951595,0.04314134863410188,0.050076583026519336
9,2,2,PX-002,fracture to access recursion,0.26955814163170877,0.10625100665097804,0.057922304512000006,0.11056330002364907,0.06601531136951595,0.04314134863410188,0.050076583026519336
10,2,3,PX-003,negation to lock formation,0.27206518632341425,0.10625100665097804,0.06864460635664811,0.11056330002364907,0.06601531136951595,0.04314134863410188,0.050076583026519336
11,2,4,PX-004,lagged temporal recursion,0.27206518632341425,0.10625100665097804,0.06864460635664811,0.1225216192869255,0.07059264402712402,0.04314134863410188,0.050076583026519336
12,2,5,PX-005,false signal injection,0.27206518632341425,0.10625100665097804,0.06864460635664811,0.1225216192869255,0.07428275170160728,0.04314134863410188,0.050076583026519336
13,2,6,PX-006,signal to unstable utterance,0.27206518632341425,0.10625100665097804,0.06864460635664811,0.1225216192869255,0.07428275170160728,0.047106474889405496,0.050076583026519336
14,2,7,PX-007,silence feedback reset,0.2704165529710935,0.10576140552256211,0.06864460635664811,0.1225216192869255,0.07321784180816387,0.047106474889405496,0.05119963292041641
15,3,1,PX-001,amplify identity fracture,0.3348539077995695,0.10559895716836502,0.06864460635664811,0.1225216192869255,0.07321784180816387,0.047106474889405496,0.05119963292041641
16,3,2,PX-002,fracture to access recursion,0.3348539077995695,0.12597518635008473,0.06864460635664811,0.1258378343627805,0.07321784180816387,0.047106474889405496,0.05119963292041641
17,3,3,PX-003,negation to lock formation,0.3375733286980029,0.12597518635008473,0.08176913103216306,0.1258378343627805,0.07321784180816387,0.047106474889405496,0.05119963292041641
