index,cycle,phase_index,step_id,operator_name,identity_split,access_recursion,contradiction_lock,temporal_feedback,false_signal,utterance_instability,silence_gain
0,0,0,initial,initial,0.12,0.08,0.05,0.1,0.06,0.04,0.05
1,1,1,PX-001,amplify identity fracture,0.19735199999999997,0.07988,0.05,0.1,0.06,0.04,0.05
2,1,2,PX-002,fracture to access recursion,0.19735199999999997,0.0907056128,0.05,0.10244905154560001,0.06,0.04,0.05
3,1,3,PX-003,negation to lock formation,0.19967656109359735,0.0907056128,0.057922304512000006,0.10244905154560001,0.06,0.04,0.05
4,1,4,PX-004,lagged temporal recursion,0.19967656109359735,0.0907056128,0.057922304512000006,0.10771912779703975,0.0640502392051687,0.04,0.05
5,1,5,PX-005,false signal injection,0.19967656109359735,0.0907056128,0.057922304512000006,0.10771912779703975,0.06797045741609861,0.04,0.05
6,1,6,PX-006,signal to unstable utterance,0.19967656109359735,0.0907056128,0.057922304512000006,0.10771912779703975,0.06797045741609861,0.04433686600220532,0.05
7,1,7,PX-007,silence feedback reset,0.19952923544253712,0.09029633097739208,0.057922304512000006,0.10771912779703975,0.06701629125713894,0.04433686600220532,0.050135550230852324
8,2,1,PX-001,amplify identity fracture,0.2701055037284931,0.09016051929027072,0.057922304512000006,0.10771912779703975,0.06701629125713894,0.04433686600220532,0.050135550230852324
9,2,2,PX-002,fracture to access recursion,0.2701055037284931,0.10629773519156058,0.057922304512000006,0.1105645508731375,0.06701629125713894,0.04433686600220532,0.050135550230852324
10,2,3,PX-003,negation to lock formation,0.2726129982138099,0.10629773519156058,0.06870840917764771,0.1105645508731375,0.06701629125713894,0.04433686600220532,0.050135550230852324
11,2,4,PX-004,lagged temporal recursion,0.2726129982138099,0.10629773519156058,0.06870840917764771,0.12258378143765578,0.07159103809863608,0.04433686600220532,0.050135550230852324
12,2,5,PX-005,false signal injection,0.2726129982138099,0.10629773519156058,0.06870840917764771,0.12258378143765578,0.0764329702684284,0.04433686600220532,0.050135550230852324
13,2,6,PX-006,signal to unstable utterance,0.2726129982138099,0.10629773519156058,0.06870840917764771,0.12258378143765578,0.0764329702684284,0.04967305868544271,0.050135550230852324
14,2,7,PX-007,silence feedback reset,0.2717526465512427,0.10580770311016299,0.06870840917764771,0.12258378143765578,0.07533675269266754,0.04967305868544271,0.051222172274935474
15,3,1,PX-001,amplify identity fracture,0.33613224296652455,0.10564511209826127,0.06870840917764771,0.12258378143765578,0.07533675269266754,0.04967305868544271,0.051222172274935474
16,3,2,PX-002,fracture to access recursion,0.33613224296652455,0.12612833949508287,0.06870840917764771,0.12590379295845547,0.07533675269266754,0.04967305868544271,0.051222172274935474
17,3,3,PX-003,negation to lock formation,0.3388530151302412,0.12612833949508287,0.08196729348250098,0.12590379295845547,0.07533675269266754,0.04967305868544271,0.051222172274935474
